user_id,event_type,value,duration,timestamp
1491655258,1,0,148,2022-01-30 16:01:01
1541245386,2,72,14147,2022-01-30 16:01:01
1541245386,3,36,14147,2022-01-30 16:01:01
2968374843,1,0,114,2022-01-30 16:01:01
3579288291,1,0,1567,2022-01-30 16:01:01
3579288291,2,13,1331,2022-01-30 16:01:01
2968374843,2,165,113,2022-01-30 16:01:01
392837163,2,35,3449,2022-01-30 16:01:01
1358979884,1,0,13,2022-01-30 16:01:01
628661140,2,55,983,2022-01-30 16:01:01
1306423763,1,0,15550,2022-01-30 16:01:01
1306423763,2,16,15542,2022-01-30 16:01:01
1321094937,2,16,645,2022-01-30 16:01:01
1503191203,2,60,20,2022-01-30 16:01:01
1597296237,2,43,6021,2022-01-30 16:01:01
2968374843,1,0,115,2022-01-30 16:01:01
1604599831,1,0,39,2022-01-30 16:01:01
2967136144,2,5,3112,2022-01-30 16:01:01
2967136144,3,2,3112,2022-01-30 16:01:01
3583450758,2,41,56272,2022-01-30 16:01:01
1599304010,2,20,5,2022-01-30 16:01:01
1491655258,2,61,145,2022-01-30 16:01:01
1604599831,2,20,36,2022-01-30 16:01:01
1604599831,3,6,36,2022-01-30 16:01:01
3081468803,2,116,191,2022-01-30 16:01:01
1358979884,2,22,10,2022-01-30 16:01:01
1503191203,1,1,25,2022-01-30 16:01:01
1599304010,1,0,11,2022-01-30 16:01:01
1081546417,2,115,25,2022-01-30 16:01:01
1081546417,3,22,25,2022-01-30 16:01:01
1766298385,1,0,293,2022-01-30 16:01:01
1766298385,2,20,257,2022-01-30 16:01:01
1766298385,3,1,257,2022-01-30 16:01:01
1442387246,2,1,126,2022-01-30 16:01:01
1503191203,1,0,27,2022-01-30 16:01:01
3244991300,2,35,125,2022-01-30 16:01:01
3579288291,1,0,1571,2022-01-30 16:01:01
3001619752,2,15,2156,2022-01-30 16:01:01
3579288291,2,60,1336,2022-01-30 16:01:01
1541245386,2,66,14152,2022-01-30 16:01:01
3081468803,1,0,201,2022-01-30 16:01:01
3001619752,1,0,2189,2022-01-30 16:01:01
